index,test_name,result,duration_sec
001,"Kafka.Ksql.Linq.Tests.Integration.CheckTest1.TestShouldRun",Passed,49
002,"Kafka.Ksql.Linq.Tests.Integration.BigBang_KafkaConnection_StrictTests.EX02_AddAsync_KafkaDown_ShouldLogAndTimeout",Passed,26
003,"Kafka.Ksql.Linq.Tests.Integration.BigBang_KafkaConnection_StrictTests.EX02_ForeachAsync_KafkaDown_ShouldLogAndTimeout",Passed,27
004,"Kafka.Ksql.Linq.Tests.Integration.BigBang_KafkaConnection_TolerantTests.EX01_AddAsync_KafkaDown_ShouldFailGracefully",Failed,28
005,"Kafka.Ksql.Linq.Tests.Integration.BigBang_KafkaConnection_TolerantTests.EX01_ForeachAsync_KafkaDown_ShouldFailGracefully",Failed,20
006,"Kafka.Ksql.Linq.Tests.Integration.KafkaConnectivityTests.ProducerConsumer_RoundTrip",Passed,42
007,"Kafka.Ksql.Linq.Tests.Integration.KafkaServiceDownTests.AddAsync_ShouldThrow_WhenKafkaIsDown",Failed,26
008,"Kafka.Ksql.Linq.Tests.Integration.KafkaServiceDownTests.ForeachAsync_ShouldThrow_WhenKafkaIsDown",Failed,27
009,"Kafka.Ksql.Linq.Tests.Integration.KsqlDbServiceDownTests.ExecuteStatement_ShouldFail_WhenKsqlDbDown",Passed,52
010,"Kafka.Ksql.Linq.Tests.Integration.PortConnectivityTests.Kafka_Broker_Should_Be_Reachable",Passed,36
011,"Kafka.Ksql.Linq.Tests.Integration.PortConnectivityTests.SchemaRegistry_Should_Be_Reachable",Passed,37
012,"Kafka.Ksql.Linq.Tests.Integration.PortConnectivityTests.KsqlDb_Should_Be_Reachable",Passed,37
013,"Kafka.Ksql.Linq.Tests.Integration.SchemaRegistryResetTests.Setup_ShouldRegisterAllSchemas",Passed,37
014,"Kafka.Ksql.Linq.Tests.Integration.SchemaRegistryResetTests.DuplicateSchemaRegistration_ShouldSucceed",Passed,37
015,"Kafka.Ksql.Linq.Tests.Integration.SchemaRegistryResetTests.UpperCaseSubjects_ShouldNotExist",Passed,37
016,"Kafka.Ksql.Linq.Tests.Integration.KafkaAdminServiceIntegrationTests.EnsureTopic_CreatesWithConfiguredStructure",Failed,38
017,"Kafka.Ksql.Linq.Tests.Integration.InvalidQueryTests.GeneratedQuery_IsRejected(ksql: "SELECT ID, COUNT(*) FROM ORDERS GROUP BY ID;")",Failed,29
018,"Kafka.Ksql.Linq.Tests.Integration.InvalidQueryTests.GeneratedQuery_IsRejected(ksql: "SELECT CASE WHEN ID=1 THEN 'A' ELSE 2 END FROM ORD"···)",Passed,35
019,"Kafka.Ksql.Linq.Tests.Integration.KsqlSyntaxTests.GeneratedQuery_IsValidInKsqlDb(ksql: "CREATE STREAM test_stream AS SELECT * FROM source "···)",Passed,36
020,"Kafka.Ksql.Linq.Tests.Integration.KsqlSyntaxTests.GeneratedQuery_IsValidInKsqlDb(ksql: "SELECT CustomerId, COUNT(*) FROM orders GROUP BY C"···)",Failed,28
021,"Kafka.Ksql.Linq.Tests.Integration.AdvancedDataTypeTests.Decimal_DateTime_Enum_RoundTrip",Failed,60
022,"Kafka.Ksql.Linq.Tests.Integration.CompositeKeyPocoTests.SendAndReceive_CompositeKeyPoco",Passed,46
023,"Kafka.Ksql.Linq.Tests.Integration.DefaultAndBoundaryValueTests.DefaultValuesRoundTrip",Failed,58
024,"Kafka.Ksql.Linq.Tests.Integration.DefaultAndBoundaryValueTests.DecimalPrecisionRoundTrip",Failed,59
025,"Kafka.Ksql.Linq.Tests.Integration.DefaultAndBoundaryValueTests.BoundaryValuesRoundTrip",Failed,60
026,"Kafka.Ksql.Linq.Tests.Integration.DlqIntegrationTests.ForEachAsync_OnErrorDlq_WritesToDlq",Failed,59
027,"Kafka.Ksql.Linq.Tests.Integration.JoinIntegrationTests.TwoTableJoin_Query_ShouldBeValid",Failed,61
028,"Kafka.Ksql.Linq.Tests.Integration.ManualCommitIntegrationTests.ManualCommit_PersistsOffset",Failed,38
029,"Kafka.Ksql.Linq.Tests.Integration.NoKeyPocoTests.SendAndReceive_NoKeyRecord",Failed,58
030,"Kafka.Ksql.Linq.Tests.Integration.PrimingBehaviorTests.AlwaysPriming_DoesNotLeakIntoConsumption",Failed,60
031,"Kafka.Ksql.Linq.Tests.Integration.SchemaNameCaseSensitivityTests.LowercaseField_ShouldSucceed",Failed,59
032,"Kafka.Ksql.Linq.Tests.Integration.Streamiz.StreamizRocksDbTests.String_To_RocksDb",Passed,46
033,"Kafka.Ksql.Linq.Tests.Integration.Streamiz.StreamizRocksDbTests.Bytes_To_RocksDb",Passed,45
034,"Kafka.Ksql.Linq.Tests.Integration.Streamiz.StreamizRocksDbTests.Avro_To_RocksDb",Passed,48
035,"Kafka.Ksql.Linq.Tests.Integration.Streamiz.StreamizRocksDbTests.AvroKey_To_RocksDb",Passed,45
036,"Kafka.Ksql.Linq.Tests.Integration.Streamiz.StreamizRocksDbTests.AvroKeyValueDifferentTypes_To_RocksDb",Passed,49
037,"Kafka.Ksql.Linq.Tests.Integration.Streamiz.StreamizRocksDbTests.AvroKeyValueDifferentTypes2_To_RocksDb",Passed,55
